StudentID,StudentName,Descr,Subject,Pat,Mtg Start,Mtg End
74b05b7,Vanessa Thompson,REAL ANALYSIS I,MATH,T,11:45:00 AM,1:00:00 PM
74b05b7,Vanessa Thompson,REAL ANALYSIS I,MATH,TH,10:05:00 AM,11:20:00 AM
4301433,Carolyn Hampton,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
4301433,Carolyn Hampton,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,3:45:00 PM,5:45:00 PM
4301433,Carolyn Hampton,INTERMEDIATE MECHANICS,PHYSICS,T,6:00:00 PM,8:00:00 PM
4301433,Carolyn Hampton,ART/ARCHAELOGY ANCIENT ATHENS,CLST,MW,1:25:00 PM,2:40:00 PM
4301433,Carolyn Hampton,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
4301433,Carolyn Hampton,MECHANICS OF SOLIDS,EGR,T,10:05:00 AM,11:20:00 AM
4301433,Carolyn Hampton,MATRICES AND VECTORS,MATH,TTH,8:30:00 AM,9:45:00 AM
61c394f,Bianca Rowland,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
61c394f,Bianca Rowland,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,1:30:00 PM,3:30:00 PM
61c394f,Bianca Rowland,INTERMEDIATE MECHANICS,PHYSICS,T,6:00:00 PM,8:00:00 PM
61c394f,Bianca Rowland,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
61c394f,Bianca Rowland,MECHANICS OF SOLIDS,EGR,T,8:30:00 AM,9:45:00 AM
61c394f,Bianca Rowland,ENGINEERING INNOVATION,EGR,MF,3:05:00 PM,4:20:00 PM
61c394f,Bianca Rowland,ENGINEERING INNOVATION,EGR,W,3:05:00 PM,4:20:00 PM
61c394f,Bianca Rowland,REAL ANALYSIS I,MATH,MW,1:40:00 PM,2:30:00 PM
61c394f,Bianca Rowland,REAL ANALYSIS I,MATH,T,11:45:00 AM,1:00:00 PM
61c394f,Bianca Rowland,REAL ANALYSIS I,MATH,TH,10:05:00 AM,11:20:00 AM
f73ec3a,Tonya Boone,INTRODUCTORY MECHANICS,PHYSICS,WF,1:25:00 PM,2:40:00 PM
f73ec3a,Tonya Boone,INTRODUCTORY MECHANICS,PHYSICS,M,1:30:00 PM,3:30:00 PM
f73ec3a,Tonya Boone,ACADEMIC WRITING,WRITING,WF,11:45:00 AM,1:00:00 PM
f73ec3a,Tonya Boone,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
f73ec3a,Tonya Boone,AIDS/EMERGING DISEASES,BIOLOGY,TH,12:00:00 PM,2:30:00 PM
f73ec3a,Tonya Boone,MATRICES AND VECTORS,MATH,TTH,10:05:00 AM,11:20:00 AM
f73ec3a,Tonya Boone,INTRODUCTORY MECHANICS,PHYSICS,T,1:30:00 PM,3:30:00 PM
7d39106,Shawn Arellano,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
7d39106,Shawn Arellano,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,3:45:00 PM,5:45:00 PM
7d39106,Shawn Arellano,INTERMEDIATE MECHANICS,PHYSICS,T,1:30:00 PM,3:30:00 PM
7d39106,Shawn Arellano,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
7d39106,Shawn Arellano,MECHANICS OF SOLIDS,EGR,T,10:05:00 AM,11:20:00 AM
7d39106,Shawn Arellano,RESEARCH PROJECTS IN EGR,EGR,,,
7d39106,Shawn Arellano,DATABASE SYSTEMS,COMPSCI,MW,1:25:00 PM,2:40:00 PM
7d39106,Shawn Arellano,DATABASE SYSTEMS,COMPSCI,TH,11:45:00 AM,1:00:00 PM
7d39106,Shawn Arellano,ADVANCED INTRO PROBABILITY,MATH,MWF,10:20:00 AM,11:10:00 AM
7d39106,Shawn Arellano,ADVANCED INTRO PROBABILITY,MATH,TH,1:25:00 PM,2:40:00 PM
3326fe3,Erika Ramos,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
3326fe3,Erika Ramos,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,1:30:00 PM,3:30:00 PM
3326fe3,Erika Ramos,INTERMEDIATE MECHANICS,PHYSICS,W,1:30:00 PM,3:30:00 PM
3326fe3,Erika Ramos,ACADEMIC WRITING,WRITING,TTH,11:45:00 AM,1:00:00 PM
3326fe3,Erika Ramos,REAL ANALYSIS I,MATH,MW,4:55:00 PM,5:45:00 PM
3326fe3,Erika Ramos,REAL ANALYSIS I,MATH,T,3:05:00 PM,4:20:00 PM
3326fe3,Erika Ramos,REAL ANALYSIS I,MATH,TH,4:40:00 PM,5:55:00 PM
3326fe3,Erika Ramos,INTRO TO SIGNALS AND SYSTEMS,ECE,TH,1:25:00 PM,4:15:00 PM
3326fe3,Erika Ramos,ADV TOPICS IN DEEP LEARNING,ECE,MW,11:45:00 AM,1:00:00 PM
ee1d8fb,Carrie Pena,ACTING FOR THE CAMERA,THEATRST,MW,11:45:00 AM,1:00:00 PM
ee1d8fb,Carrie Pena,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
ee1d8fb,Carrie Pena,MECHANICS OF SOLIDS,EGR,T,8:30:00 AM,9:45:00 AM
ee1d8fb,Carrie Pena,ENGINEERING INNOVATION,EGR,MF,10:05:00 AM,11:20:00 AM
ee1d8fb,Carrie Pena,ENGINEERING INNOVATION,EGR,W,10:05:00 AM,11:20:00 AM
ee1d8fb,Carrie Pena,REAL ANALYSIS I,MATH,MW,1:40:00 PM,2:30:00 PM
ee1d8fb,Carrie Pena,REAL ANALYSIS I,MATH,T,11:45:00 AM,1:00:00 PM
ee1d8fb,Carrie Pena,REAL ANALYSIS I,MATH,TH,11:45:00 AM,1:00:00 PM
ee1d8fb,Carrie Pena,ELEM DIFFERENTIAL EQUAT,MATH,TTH,1:25:00 PM,2:40:00 PM
ee1d8fb,Carrie Pena,ELEM DIFFERENTIAL EQUAT,MATH,TTH,1:25:00 PM,2:40:00 PM
37b24ed,Shari Bradley,INTRODUCTORY MECHANICS,PHYSICS,WF,1:25:00 PM,2:40:00 PM
37b24ed,Shari Bradley,INTRODUCTORY MECHANICS,PHYSICS,M,1:30:00 PM,3:30:00 PM
37b24ed,Shari Bradley,ACADEMIC WRITING,WRITING,TTH,1:25:00 PM,2:40:00 PM
37b24ed,Shari Bradley,MATRICES AND VECTORS,MATH,TTH,10:05:00 AM,11:20:00 AM
37b24ed,Shari Bradley,ADV TOPICS IN DEEP LEARNING,ECE,MW,10:05:00 AM,11:20:00 AM
37b24ed,Shari Bradley,INTRO TO SIGNALS AND SYSTEMS,ECE,TH,3:05:00 PM,5:55:00 PM
37b24ed,Shari Bradley,INTRODUCTORY MECHANICS,PHYSICS,T,3:45:00 PM,5:45:00 PM
0d825db,Susan Dillon,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
0d825db,Susan Dillon,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,3:45:00 PM,5:45:00 PM
0d825db,Susan Dillon,INTERMEDIATE MECHANICS,PHYSICS,T,1:30:00 PM,3:30:00 PM
0d825db,Susan Dillon,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
0d825db,Susan Dillon,MECHANICS OF SOLIDS,EGR,T,8:30:00 AM,9:45:00 AM
0d825db,Susan Dillon,DATABASE SYSTEMS,COMPSCI,MW,3:05:00 PM,4:20:00 PM
0d825db,Susan Dillon,DATABASE SYSTEMS,COMPSCI,TH,1:25:00 PM,2:40:00 PM
0d825db,Susan Dillon,REAL ANALYSIS I,MATH,MW,1:40:00 PM,2:30:00 PM
0d825db,Susan Dillon,REAL ANALYSIS I,MATH,T,11:45:00 AM,1:00:00 PM
0d825db,Susan Dillon,REAL ANALYSIS I,MATH,TH,4:40:00 PM,5:55:00 PM
b71e8ea,Reginald Randolph,THE FUTURE OF THE OCEANS,MARSCI,MW,3:05:00 PM,4:20:00 PM
b71e8ea,Reginald Randolph,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
b71e8ea,Reginald Randolph,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,1:30:00 PM,3:30:00 PM
b71e8ea,Reginald Randolph,INTERMEDIATE MECHANICS,PHYSICS,T,3:45:00 PM,5:45:00 PM
b71e8ea,Reginald Randolph,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
b71e8ea,Reginald Randolph,MECHANICS OF SOLIDS,EGR,T,10:05:00 AM,11:20:00 AM
b71e8ea,Reginald Randolph,RESEARCH PROJECTS IN EGR,EGR,,,
b71e8ea,Reginald Randolph,DATABASE SYSTEMS,COMPSCI,MW,1:25:00 PM,2:40:00 PM
b71e8ea,Reginald Randolph,DATABASE SYSTEMS,COMPSCI,TH,11:45:00 AM,1:00:00 PM
d48c1d6,Maria Robertson,ACADEMIC WRITING,WRITING,WF,3:05:00 PM,4:20:00 PM
d48c1d6,Maria Robertson,DYNAMICS,EGR,MF,11:45:00 AM,1:00:00 PM
d48c1d6,Maria Robertson,DYNAMICS,EGR,W,4:40:00 PM,5:55:00 PM
d48c1d6,Maria Robertson,MATRICES AND VECTORS,MATH,MWF,10:20:00 AM,11:10:00 AM
d48c1d6,Maria Robertson,WHAT NOW?,ETHICS,TH,4:40:00 PM,5:55:00 PM
d48c1d6,Maria Robertson,ADV TOPICS IN DEEP LEARNING,ECE,TTH,11:45:00 AM,1:00:00 PM
d48c1d6,Maria Robertson,FUND OF ELEC AND COMP ENGR,ECE,TTH,1:25:00 PM,2:40:00 PM
d48c1d6,Maria Robertson,FUND OF ELEC AND COMP ENGR,ECE,F,1:25:00 PM,2:40:00 PM
d48c1d6,Maria Robertson,INTRO TO SIGNALS AND SYSTEMS,ECE,W,11:45:00 AM,2:35:00 PM
9243370,Scott Rios,ELEMENTARY MODERN DANCE,DANCE,TTH,8:30:00 AM,9:45:00 AM
9243370,Scott Rios,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
9243370,Scott Rios,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,6:00:00 PM,8:00:00 PM
9243370,Scott Rios,INTERMEDIATE MECHANICS,PHYSICS,T,3:45:00 PM,5:45:00 PM
9243370,Scott Rios,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
9243370,Scott Rios,AIDS/EMERGING DISEASES,BIOLOGY,TH,12:00:00 PM,2:30:00 PM
9243370,Scott Rios,DATABASE SYSTEMS,COMPSCI,MW,3:05:00 PM,4:20:00 PM
9243370,Scott Rios,DATABASE SYSTEMS,COMPSCI,TH,10:05:00 AM,11:20:00 AM
9243370,Scott Rios,REAL ANALYSIS I,MATH,MW,1:40:00 PM,2:30:00 PM
9243370,Scott Rios,REAL ANALYSIS I,MATH,T,11:45:00 AM,1:00:00 PM
9243370,Scott Rios,REAL ANALYSIS I,MATH,TH,3:05:00 PM,4:20:00 PM
c29264f,Erik Warner,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
c29264f,Erik Warner,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,3:45:00 PM,5:45:00 PM
c29264f,Erik Warner,INTERMEDIATE MECHANICS,PHYSICS,T,3:45:00 PM,5:45:00 PM
c29264f,Erik Warner,ACADEMIC WRITING,WRITING,TTH,11:45:00 AM,1:00:00 PM
c29264f,Erik Warner,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
c29264f,Erik Warner,AIDS/EMERGING DISEASES,BIOLOGY,M,12:00:00 PM,2:30:00 PM
c29264f,Erik Warner,MATRICES AND VECTORS,MATH,WF,8:30:00 AM,9:45:00 AM
cb1f88f,Alexandra Brewer,HOW TO START SOMETHING,I&E,T,1:40:00 PM,4:10:00 PM
cb1f88f,Alexandra Brewer,ACADEMIC WRITING,WRITING,MW,4:40:00 PM,5:55:00 PM
cb1f88f,Alexandra Brewer,DATABASE SYSTEMS,COMPSCI,MW,1:25:00 PM,2:40:00 PM
cb1f88f,Alexandra Brewer,DATABASE SYSTEMS,COMPSCI,TH,8:30:00 AM,9:45:00 AM
cb1f88f,Alexandra Brewer,FINANCIAL ACCOUNTING,ECON,MWF,11:45:00 AM,1:00:00 PM
cb1f88f,Alexandra Brewer,FINANCIAL ACCOUNTING,ECON,W,3:20:00 PM,4:10:00 PM
cb1f88f,Alexandra Brewer,ADVANCED INTRO PROBABILITY,MATH,MWF,8:45:00 AM,9:35:00 AM
cb1f88f,Alexandra Brewer,ADVANCED INTRO PROBABILITY,MATH,TH,11:45:00 AM,1:00:00 PM
640ff3d,Stephanie Bates,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
640ff3d,Stephanie Bates,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,1:30:00 PM,3:30:00 PM
640ff3d,Stephanie Bates,INTERMEDIATE MECHANICS,PHYSICS,W,1:30:00 PM,3:30:00 PM
640ff3d,Stephanie Bates,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
640ff3d,Stephanie Bates,MECHANICS OF SOLIDS,EGR,T,8:30:00 AM,9:45:00 AM
640ff3d,Stephanie Bates,FINANCIAL ACCOUNTING,ECON,MWF,11:45:00 AM,1:00:00 PM
640ff3d,Stephanie Bates,FINANCIAL ACCOUNTING,ECON,TH,3:20:00 PM,4:10:00 PM
640ff3d,Stephanie Bates,MATRICES AND VECTORS,MATH,TTH,10:05:00 AM,11:20:00 AM
640ff3d,Stephanie Bates,ENGINEERING THE PLANET,CEE,,,
711b837,Carol Garrett,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
711b837,Carol Garrett,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,1:30:00 PM,3:30:00 PM
711b837,Carol Garrett,INTERMEDIATE MECHANICS,PHYSICS,W,1:30:00 PM,3:30:00 PM
711b837,Carol Garrett,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
711b837,Carol Garrett,MECHANICS OF SOLIDS,EGR,T,8:30:00 AM,9:45:00 AM
711b837,Carol Garrett,RESEARCH PROJECTS IN EGR,EGR,,,
711b837,Carol Garrett,ENGINEERING INNOVATION,EGR,MF,10:05:00 AM,11:20:00 AM
711b837,Carol Garrett,ENGINEERING INNOVATION,EGR,W,10:05:00 AM,11:20:00 AM
711b837,Carol Garrett,MATRICES AND VECTORS,MATH,TTH,10:05:00 AM,11:20:00 AM
2b2bfdc,Tara Anderson,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
2b2bfdc,Tara Anderson,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,6:00:00 PM,8:00:00 PM
2b2bfdc,Tara Anderson,INTERMEDIATE MECHANICS,PHYSICS,W,6:00:00 PM,8:00:00 PM
2b2bfdc,Tara Anderson,ACADEMIC WRITING,WRITING,TTH,11:45:00 AM,1:00:00 PM
2b2bfdc,Tara Anderson,DISCRETE MATH FOR COMPSCI,COMPSCI,TTH,3:05:00 PM,4:20:00 PM
2b2bfdc,Tara Anderson,DISCRETE MATH FOR COMPSCI,COMPSCI,F,8:30:00 AM,9:45:00 AM
2b2bfdc,Tara Anderson,PRACTICAL METHODS IN CE,CEE,MWF,10:20:00 AM,11:10:00 AM
2b2bfdc,Tara Anderson,PRACTICAL METHODS IN CE,CEE,W,8:30:00 AM,9:45:00 AM
72f6cbd,Patricia Ortiz,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
72f6cbd,Patricia Ortiz,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,6:00:00 PM,8:00:00 PM
72f6cbd,Patricia Ortiz,INTERMEDIATE MECHANICS,PHYSICS,T,6:00:00 PM,8:00:00 PM
72f6cbd,Patricia Ortiz,DATABASE SYSTEMS,COMPSCI,MW,3:05:00 PM,4:20:00 PM
72f6cbd,Patricia Ortiz,DATABASE SYSTEMS,COMPSCI,TH,4:40:00 PM,5:55:00 PM
72f6cbd,Patricia Ortiz,FINANCIAL ACCOUNTING,ECON,MWF,11:45:00 AM,1:00:00 PM
72f6cbd,Patricia Ortiz,FINANCIAL ACCOUNTING,ECON,T,8:45:00 AM,9:35:00 AM
72f6cbd,Patricia Ortiz,MATRICES AND VECTORS,MATH,TTH,10:05:00 AM,11:20:00 AM
72f6cbd,Patricia Ortiz,ADV TOPICS IN DEEP LEARNING,ECE,TTH,11:45:00 AM,1:00:00 PM
72f6cbd,Patricia Ortiz,INTRO TO SIGNALS AND SYSTEMS,ECE,F,1:25:00 PM,4:15:00 PM
00a5949,Monica Flores,ORGANIC CHEMISTRY II LAB,CHEM,TTH,11:45:00 AM,1:00:00 PM
00a5949,Monica Flores,ORGANIC CHEMISTRY II LAB,CHEM,F,12:00:00 PM,12:50:00 PM
00a5949,Monica Flores,PHYSICAL CHEMISTRY II,CHEM,TH,1:25:00 PM,4:25:00 PM
00a5949,Monica Flores,RESEARCH PROJECTS IN EGR,EGR,,,
00a5949,Monica Flores,ENGINEERING INNOVATION,EGR,MF,1:25:00 PM,2:40:00 PM
00a5949,Monica Flores,ENGINEERING INNOVATION,EGR,W,1:25:00 PM,2:40:00 PM
00a5949,Monica Flores,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
00a5949,Monica Flores,AIDS/EMERGING DISEASES,BIOLOGY,T,3:20:00 PM,5:50:00 PM
00a5949,Monica Flores,MATRICES AND VECTORS,MATH,WF,8:30:00 AM,9:45:00 AM
00a5949,Monica Flores,INTRO TO PHILOSOPHY,PHIL,W,4:55:00 PM,7:25:00 PM
ddf2afd,Terri Carney,INTRODUCTORY MECHANICS,PHYSICS,WF,1:25:00 PM,2:40:00 PM
ddf2afd,Terri Carney,INTRODUCTORY MECHANICS,PHYSICS,M,3:45:00 PM,5:45:00 PM
ddf2afd,Terri Carney,ACADEMIC WRITING,WRITING,WF,3:05:00 PM,4:20:00 PM
ddf2afd,Terri Carney,PRACTICAL METHODS IN CE,CEE,MWF,10:20:00 AM,11:10:00 AM
ddf2afd,Terri Carney,PRACTICAL METHODS IN CE,CEE,W,8:30:00 AM,9:45:00 AM
ddf2afd,Terri Carney,WHAT NOW?,ETHICS,TH,4:40:00 PM,5:55:00 PM
ddf2afd,Terri Carney,INTRODUCTORY MECHANICS,PHYSICS,T,1:30:00 PM,3:30:00 PM
ddf2afd,Terri Carney,MATRICES AND VECTORS,MATH,TTH,8:30:00 AM,9:45:00 AM
41b55d2,Lynn Goodman,BIO BASES OF BEHAVIOR (TEAM),NEUROSCI,TTH,3:05:00 PM,4:20:00 PM
41b55d2,Lynn Goodman,SOCIOLOGICAL INQUIRY,SOCIOL,TTH,11:45:00 AM,1:00:00 PM
41b55d2,Lynn Goodman,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
41b55d2,Lynn Goodman,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,1:30:00 PM,3:30:00 PM
41b55d2,Lynn Goodman,INTERMEDIATE MECHANICS,PHYSICS,W,1:30:00 PM,3:30:00 PM
41b55d2,Lynn Goodman,ACADEMIC WRITING,WRITING,WF,11:45:00 AM,1:00:00 PM
41b55d2,Lynn Goodman,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
41b55d2,Lynn Goodman,MECHANICS OF SOLIDS,EGR,T,10:05:00 AM,11:20:00 AM
d426a49,Brad Leonard,CHAMBER MUSIC,MUSIC,TTH,7:30:00 PM,9:30:00 PM
d426a49,Brad Leonard,DANCE COMPOSITION,DANCE,TTH,10:05:00 AM,11:20:00 AM
d426a49,Brad Leonard,ENGINEERING INNOVATION,EGR,MF,3:05:00 PM,4:20:00 PM
d426a49,Brad Leonard,ENGINEERING INNOVATION,EGR,W,3:05:00 PM,4:20:00 PM
d426a49,Brad Leonard,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
d426a49,Brad Leonard,AIDS/EMERGING DISEASES,BIOLOGY,T,12:00:00 PM,2:30:00 PM
d426a49,Brad Leonard,MATRICES AND VECTORS,MATH,WF,8:30:00 AM,9:45:00 AM
d426a49,Brad Leonard,FR FOR CURRENT AFFAIRS,FRENCH,WF,1:25:00 PM,2:40:00 PM
e970efd,Summer Key,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
fb5ae4c,Johnny Barron,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
e970efd,Summer Key,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,3:45:00 PM,5:45:00 PM
fb5ae4c,Johnny Barron,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,3:45:00 PM,5:45:00 PM
e970efd,Summer Key,INTERMEDIATE MECHANICS,PHYSICS,T,6:00:00 PM,8:00:00 PM
fb5ae4c,Johnny Barron,INTERMEDIATE MECHANICS,PHYSICS,T,6:00:00 PM,8:00:00 PM
e970efd,Summer Key,ENGINEERING INNOVATION,EGR,MF,3:05:00 PM,4:20:00 PM
fb5ae4c,Johnny Barron,ENGINEERING INNOVATION,EGR,MF,3:05:00 PM,4:20:00 PM
e970efd,Summer Key,ENGINEERING INNOVATION,EGR,W,3:05:00 PM,4:20:00 PM
fb5ae4c,Johnny Barron,ENGINEERING INNOVATION,EGR,W,3:05:00 PM,4:20:00 PM
e970efd,Summer Key,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
fb5ae4c,Johnny Barron,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
e970efd,Summer Key,AIDS/EMERGING DISEASES,BIOLOGY,M,12:00:00 PM,2:30:00 PM
fb5ae4c,Johnny Barron,AIDS/EMERGING DISEASES,BIOLOGY,M,12:00:00 PM,2:30:00 PM
e970efd,Summer Key,ADVANCED INTRO PROBABILITY,MATH,MWF,8:45:00 AM,9:35:00 AM
fb5ae4c,Johnny Barron,ADVANCED INTRO PROBABILITY,MATH,MWF,8:45:00 AM,9:35:00 AM
e970efd,Summer Key,ADVANCED INTRO PROBABILITY,MATH,TH,11:45:00 AM,1:00:00 PM
fb5ae4c,Johnny Barron,ADVANCED INTRO PROBABILITY,MATH,TH,11:45:00 AM,1:00:00 PM
9e91568,Kent Harvey,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
9e91568,Kent Harvey,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,1:30:00 PM,3:30:00 PM
9e91568,Kent Harvey,INTERMEDIATE MECHANICS,PHYSICS,T,6:00:00 PM,8:00:00 PM
9e91568,Kent Harvey,ACADEMIC WRITING,WRITING,TTH,10:05:00 AM,11:20:00 AM
9e91568,Kent Harvey,RESEARCH PROJECTS IN EGR,EGR,,,
9e91568,Kent Harvey,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
9e91568,Kent Harvey,AIDS/EMERGING DISEASES,BIOLOGY,TH,12:00:00 PM,2:30:00 PM
9e91568,Kent Harvey,MATRICES AND VECTORS,MATH,WF,8:30:00 AM,9:45:00 AM
5be9c41,Stacie Weiss,CLINICAL PSYCH & MENTAL HEALTH,PSY,TTH,11:45:00 AM,1:00:00 PM
5be9c41,Stacie Weiss,INTRODUCTORY MECHANICS,PHYSICS,WF,1:25:00 PM,2:40:00 PM
5be9c41,Stacie Weiss,INTRODUCTORY MECHANICS,PHYSICS,M,3:45:00 PM,5:45:00 PM
5be9c41,Stacie Weiss,INTRODUCTORY MECHANICS,PHYSICS,T,3:45:00 PM,5:45:00 PM
5be9c41,Stacie Weiss,AIDS/EMERGING DISEASES,BIOLOGY,MWF,10:05:00 AM,11:20:00 AM
5be9c41,Stacie Weiss,AIDS/EMERGING DISEASES,BIOLOGY,M,12:00:00 PM,2:30:00 PM
5be9c41,Stacie Weiss,MATRICES AND VECTORS,MATH,TTH,8:30:00 AM,9:45:00 AM
5be9c41,Stacie Weiss,CLINICAL PSYCH & MENTAL HEALTH,PSY,T,1:40:00 PM,2:30:00 PM
388888e,Mackenzie Long,HERITAGE/VALUES US AIR FORCE,AEROSCI,TH,10:05:00 AM,12:35:00 PM
388888e,Mackenzie Long,LEADERSHIP LABORATORY,AEROSCI,T,10:05:00 AM,11:20:00 AM
388888e,Mackenzie Long,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
388888e,Mackenzie Long,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,M,1:30:00 PM,3:30:00 PM
388888e,Mackenzie Long,INTERMEDIATE MECHANICS,PHYSICS,W,1:30:00 PM,3:30:00 PM
388888e,Mackenzie Long,ACADEMIC WRITING,WRITING,TTH,1:25:00 PM,2:40:00 PM
388888e,Mackenzie Long,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
388888e,Mackenzie Long,MECHANICS OF SOLIDS,EGR,T,8:30:00 AM,9:45:00 AM
388888e,Mackenzie Long,REAL ANALYSIS I,MATH,MW,4:55:00 PM,5:45:00 PM
388888e,Mackenzie Long,REAL ANALYSIS I,MATH,T,3:05:00 PM,4:20:00 PM
388888e,Mackenzie Long,REAL ANALYSIS I,MATH,TH,3:05:00 PM,4:20:00 PM
865d712,Duane Wood,INTERMEDIATE MECHANICS,PHYSICS,WF,11:45:00 AM,1:00:00 PM
